Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Doumbia,C,,0.0,0.0,0.0,0.1,0.01,0.11,0.42,0.26,39.12,1.15,2.11,2.78,0.0,0.0,,-1.0,-0.1,0.0,0.0,0.0,1.24,41.5,0.23,C
Luiz,C,,0.0,0.0,0.0,0.1,0.17,0.27,0.16,0.08,27.84,2.72,5.95,2.04,0.0,0.0,,-0.6,-1.0,0.34,0.0,0.34,1.24,41.5,0.23,C
Akpa-Akpro,C,,0.0,0.0,0.0,0.03,0.02,0.05,0.86,0.32,69.0,1.96,1.77,2.05,0.0,0.0,,-0.3,-0.2,0.37,0.0,0.37,1.27,42.2,0.21,C
Keita,C,Parma,0.0,0.1,0.1,0.0,0.05,0.05,0.8,0.63,60.87,0.64,2.46,0.25,0.0,0.0,,-0.1,1.0,0.35,0.05,0.3,1.27,42.2,0.21,C
Prati,C,Cagliari,0.0,0.0,0.0,0.02,0.11,0.13,0.67,0.21,47.5,0.32,3.63,1.11,0.0,0.0,,-0.1,-0.7,0.16,0.0,0.16,1.27,42.2,0.21,C
Pessina,C,,0.0,0.0,0.0,0.02,0.01,0.03,0.91,0.26,77.64,0.84,2.95,2.11,0.0,0.0,,-0.2,-0.1,0.21,0.0,0.21,1.29,42.9,0.2,C
Tidiane Niasse,C,,0.0,0.0,0.0,0.05,0.01,0.06,0.73,0.21,68.64,0.6,2.98,1.79,0.0,0.0,,-0.4,-0.1,0.48,0.0,0.48,1.29,42.9,0.2,C
Vignato,C,,0.0,0.0,0.0,0.06,0.0,0.06,0.18,0.08,27.65,0.96,3.26,5.74,0.0,0.0,,-0.3,0.0,0.0,0.0,0.0,1.31,43.5,0.19,C
Pierini,C,Sassuolo,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,41.5,1.08,2.17,4.34,,0.0,,0.0,-0.1,0.0,0.0,0.0,1.33,44.2,0.18,C
Camara,C,,0.0,0.0,0.0,0.24,0.16,0.4,0.05,0.03,21.29,3.62,5.44,7.05,0.0,0.0,,-1.2,-0.8,0.6,0.0,0.6,1.35,44.9,0.18,C
Kovalenko,C,,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,12.83,1.17,4.68,3.51,0.0,0.0,,-0.1,0.0,0.0,0.0,0.0,1.35,44.9,0.18,C
Baselli,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,11.0,8.18,16.36,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.37,45.6,0.16,C
Cassa,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.43,6.43,12.86,,0.0,,0.0,0.0,0.0,0.0,0.0,1.37,45.6,0.16,C
Gourna-Douath,C,,0.0,0.0,0.0,0.04,0.04,0.08,0.33,0.05,38.17,1.57,3.54,3.54,0.0,0.0,,-0.1,-0.1,0.79,0.0,0.79,1.37,45.6,0.16,C
Oudin,C,,0.0,0.0,0.0,0.03,0.18,0.21,0.27,0.08,27.18,0.6,3.91,4.82,0.0,0.0,,-0.1,-0.6,0.3,0.0,0.3,1.37,45.6,0.16,C
Črnigoj,C,,0.0,0.0,0.0,0.07,0.0,0.07,0.12,0.03,17.0,2.65,2.65,3.97,0.0,0.0,,-0.1,0.0,0.0,0.0,0.0,1.37,45.6,0.16,C
Bandeira,C,,0.0,0.0,0.0,0.0,0.02,0.02,0.36,0.11,37.0,0.22,5.53,0.88,,0.0,,0.0,-0.1,0.22,0.0,0.22,1.39,46.3,0.14,C
Pafundi,C,Udinese,0.0,0.0,0.0,0.08,0.54,0.62,0.0,0.0,12.89,2.33,0.0,5.43,0.0,0.0,,-0.1,-0.7,0.0,0.0,0.0,1.39,46.3,0.14,C
Bondo,C,Cremonese,0.0,0.0,0.0,0.02,0.02,0.04,0.92,0.58,74.17,1.37,2.33,1.06,0.0,0.0,,-0.4,-0.4,0.35,0.05,0.3,1.41,46.9,0.13,C
Cyprien,C,,0.0,0.0,0.0,0.64,0.0,0.64,0.0,0.0,14.0,3.21,6.43,0.0,0.0,0.0,,-0.2,0.0,0.0,0.0,0.0,1.43,47.6,0.11,C
El Haddad,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,18.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.43,47.6,0.11,C
Kaba,C,Lecce,0.0,0.0,0.0,0.06,0.0,0.06,0.13,0.05,30.13,0.6,3.58,1.59,0.0,0.0,,-0.3,0.0,0.2,0.0,0.2,1.43,47.6,0.11,C
Gagliardini,C,,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,22.5,2.5,5.5,1.5,,0.0,,0.0,-0.2,0.5,0.0,0.5,1.45,48.3,0.1,C
Verdi,C,,0.0,0.0,0.0,0.08,0.39,0.47,0.0,0.0,12.78,2.35,3.91,10.17,0.0,0.0,,-0.1,-0.5,0.78,0.0,0.78,1.47,49.0,0.1,C
