Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Maignan,P,Milan,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.97,89.03,0.0,0.11,0.0,,0.0,,0.0,-0.8,0.03,0.0,0.03,0.69,23.1,0.66,B
Martinez,P,Inter,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.1,0.0,0.0,0.0,0.69,23.1,0.66,B
Patrício,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Perilli,P,Verona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Perin,P,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Silvestri,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Terracciano,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Falcone,P,Lecce,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.05,0.0,0.05,0.73,24.5,0.52,B
Leali,P,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.03,0.0,0.03,0.73,24.5,0.52,B
Vásquez,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.06,0.0,0.06,0.73,24.5,0.52,B
Musso,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Padelli,P,Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Paleari,P,Torino,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Seghetti,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Sherri,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,88.71,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Turati,P,Sassuolo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.79,89.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.03,0.0,0.03,0.76,25.2,0.42,C
Radu,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.07,0.0,0.07,0.78,25.9,0.34,C
Butez,P,Como,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.47,87.68,0.0,0.05,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.82,27.2,0.3,C
Caprile,P,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.55,88.41,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.82,27.2,0.3,C
Milinković-Savić,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.1,0.08,0.0,0.08,0.82,27.2,0.3,C
Skorupski,P,Bologna,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.71,87.56,0.0,0.0,0.0,,0.0,,0.0,0.0,0.04,0.0,0.04,0.86,28.6,0.25,C
Gollini,P,Roma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.14,0.0,0.14,0.88,29.3,0.2,C
Sava,P,Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.08,0.0,0.08,0.88,29.3,0.2,C
Siegrist,P,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,76.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.88,29.3,0.2,C
Joronen,P,,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.18,87.88,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.94,31.3,0.15,C
Ravaglia,P,Bologna,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.29,88.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.94,31.3,0.15,C
Stankovic,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42,85.44,0.0,0.0,0.0,,0.0,,0.0,0.0,0.07,0.0,0.07,0.96,32.0,0.1,C
Suzuki,P,Parma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,89.57,0.0,0.0,0.0,,0.0,,0.0,0.0,0.08,0.03,0.05,0.96,32.0,0.1,C
Pizzignacco,P,,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.21,81.78,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.07,C
Reina,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,86.17,0.0,0.0,0.0,,0.0,,0.0,0.0,0.09,0.09,0.0,1.06,35.4,0.05,C
Sportiello,P,Atalanta,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,63.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.12,37.4,0.02,C
Zappacosta,D,Atalanta,0.17,0.09,0.26,0.1,0.09,0.19,0.87,0.68,68.9,2.92,4.66,6.05,1.82,0.17,,1.8,-0.1,0.13,0.0,0.13,0.02,0.8,1.0,S
Kyriakopoulos,D,,0.06,0.13,0.19,0.03,0.1,0.13,0.97,0.87,83.68,2.12,3.07,4.18,2.22,0.06,,1.1,0.7,0.16,0.0,0.16,0.05,1.6,1.0,S
Angeliño,D,,0.06,0.03,0.08,0.04,0.1,0.14,0.95,0.95,83.61,1.87,4.87,4.87,1.43,0.06,,0.6,-2.7,0.03,0.0,0.03,0.07,2.4,0.99,S
Di Lorenzo,D,Napoli,0.08,0.05,0.14,0.08,0.11,0.18,1.0,0.97,90.0,1.35,6.05,4.41,1.07,0.08,,0.2,-1.9,0.16,0.0,0.16,0.07,2.4,0.99,S
Dimarco,D,Inter,0.17,0.29,0.45,0.14,0.25,0.39,0.88,0.76,65.97,1.94,3.43,9.59,1.21,0.17,,0.7,0.9,0.12,0.0,0.12,0.07,2.4,0.99,S
Valeri,D,Parma,0.06,0.19,0.25,0.06,0.15,0.2,0.97,0.89,82.09,2.47,2.91,3.41,0.56,0.03,1.0,0.2,1.3,0.03,0.0,0.03,0.1,3.2,0.98,S
Gosens,D,Fiorentina,0.18,0.18,0.36,0.06,0.09,0.15,0.91,0.76,78.78,1.11,3.64,3.25,2.78,0.18,,3.2,2.6,0.21,0.0,0.21,0.14,4.8,0.97,S
Bellanova,D,Atalanta,0.0,0.33,0.33,0.04,0.17,0.21,0.8,0.74,71.11,3.15,3.15,7.09,0.0,0.0,,-1.1,4.2,0.11,0.0,0.11,0.17,5.6,0.97,S
Olivera,D,Napoli,0.0,0.08,0.08,0.04,0.06,0.11,0.81,0.68,74.06,1.75,4.78,2.35,0.0,0.0,,-1.1,0.3,0.15,0.0,0.15,0.17,5.6,0.97,S
Cambiaso,D,Juventus,0.08,0.12,0.2,0.03,0.11,0.13,0.76,0.66,67.3,3.16,4.5,4.94,2.86,0.08,,1.3,0.4,0.16,0.0,0.16,0.19,6.3,0.96,S
Zortea,D,Bologna,0.2,0.07,0.27,0.1,0.08,0.18,0.94,0.87,77.51,2.29,2.09,4.78,1.94,0.2,,2.9,-0.4,0.07,0.0,0.07,0.19,6.3,0.96,S
Augello,D,,0.0,0.23,0.23,0.01,0.15,0.16,0.79,0.79,71.39,1.92,3.91,3.75,0.0,0.0,,-0.3,2.4,0.1,0.0,0.1,0.21,7.1,0.94,S
Augusto,D,,0.16,0.11,0.27,0.15,0.09,0.23,0.52,0.39,58.31,1.65,4.26,4.42,1.07,0.16,,0.2,0.4,0.05,0.0,0.05,0.21,7.1,0.94,S
Ellertsson,D,Genoa,0.07,0.07,0.15,0.04,0.06,0.1,0.81,0.76,68.61,1.2,1.31,3.35,1.82,0.07,,0.9,0.4,0.07,0.0,0.07,0.21,7.1,0.94,S
Saelemaekers,D,Milan,0.43,0.18,0.61,0.15,0.16,0.32,0.78,0.47,64.3,2.8,3.47,9.07,2.8,0.43,,4.5,0.3,0.24,0.0,0.24,0.21,7.1,0.94,S
Spinazzola,D,Napoli,0.06,0.06,0.12,0.04,0.21,0.25,0.63,0.45,56.19,4.92,5.22,4.81,1.43,0.06,,0.3,-2.5,0.06,0.0,0.06,0.21,7.1,0.94,S
Zappa,D,Cagliari,0.06,0.0,0.06,0.03,0.11,0.13,0.95,0.92,82.7,1.68,4.29,2.41,2.22,0.06,,1.1,-3.6,0.12,0.0,0.12,0.21,7.1,0.94,S
Biraghi,D,Torino,0.06,0.0,0.06,0.04,0.17,0.21,0.78,0.47,69.17,1.53,2.88,3.73,1.43,0.06,,0.3,-3.0,0.06,0.0,0.06,0.24,7.9,0.92,S
Djimsiti,D,Atalanta,0.03,0.07,0.1,0.09,0.04,0.14,0.94,0.84,77.65,1.09,3.72,1.43,0.37,0.03,,-1.7,0.7,0.2,0.0,0.2,0.24,7.9,0.92,S
Birindelli,D,,0.18,0.0,0.18,0.13,0.09,0.21,0.86,0.47,69.9,2.45,2.15,6.13,1.43,0.18,,0.9,-1.4,0.12,0.0,0.12,0.26,8.7,0.9,S
Luperto,D,Cagliari,0.03,0.08,0.11,0.06,0.04,0.1,1.0,0.95,90.0,0.61,2.67,0.31,0.45,0.03,,-1.2,1.7,0.11,0.0,0.11,0.26,8.7,0.9,S
Pavlović,D,,0.1,0.05,0.14,0.09,0.05,0.14,0.88,0.55,77.67,1.93,4.54,0.48,1.11,0.1,,0.2,-0.1,0.19,0.05,0.14,0.26,8.7,0.9,S
Rrahmani,D,Napoli,0.03,0.08,0.11,0.08,0.03,0.11,1.0,1.0,89.63,0.79,4.97,0.05,0.34,0.03,,-1.9,1.9,0.05,0.0,0.05,0.26,8.7,0.9,S
Zerbin,D,Cremonese,0.06,0.06,0.12,0.11,0.12,0.24,0.85,0.45,76.0,3.14,3.2,4.14,0.53,0.06,,-0.9,-1.1,0.24,0.0,0.24,0.26,8.7,0.9,S
Aurel Bisseck,D,,0.16,0.11,0.27,0.14,0.05,0.19,0.63,0.45,60.85,1.75,5.09,2.41,1.15,0.16,,0.4,1.1,0.22,0.0,0.22,0.29,9.5,0.88,A
Hernández,D,,0.13,0.1,0.23,0.09,0.16,0.25,0.91,0.79,81.7,3.1,4.41,4.94,1.48,0.13,0.0,1.3,-1.7,0.17,0.03,0.13,0.29,9.5,0.88,A
Martín,D,,0.0,0.23,0.23,0.03,0.16,0.19,0.97,0.92,85.69,1.46,2.63,3.15,0.0,0.0,,-0.9,2.5,0.15,0.0,0.15,0.29,9.5,0.88,A
Weah,D,Juventus,0.27,0.11,0.38,0.19,0.09,0.27,0.6,0.47,54.6,2.47,3.08,6.59,1.47,0.27,,1.6,0.4,0.22,0.0,0.22,0.29,9.5,0.88,A
Zemura,D,Udinese,0.06,0.13,0.19,0.06,0.06,0.13,0.57,0.34,61.52,1.59,2.67,4.83,1.0,0.06,,0.0,1.0,0.13,0.0,0.13,0.29,9.5,0.88,A
Buongiorno,D,Napoli,0.05,0.0,0.05,0.04,0.03,0.07,1.0,0.58,87.45,1.26,3.84,0.37,1.25,0.05,,0.2,-0.6,0.09,0.0,0.09,0.31,10.3,0.86,A
Dodô,D,,0.0,0.14,0.14,0.04,0.12,0.16,1.0,0.92,89.0,4.13,3.7,5.58,0.0,0.0,,-1.4,0.8,0.23,0.0,0.23,0.31,10.3,0.86,A
Haps,D,,0.07,0.07,0.13,0.08,0.05,0.12,0.56,0.37,54.76,1.71,3.42,3.09,0.83,0.07,,-0.2,0.3,0.2,0.0,0.2,0.31,10.3,0.86,A
Solet,D,Udinese,0.05,0.11,0.16,0.04,0.06,0.11,1.0,0.5,88.0,1.08,3.5,0.32,1.25,0.05,,0.2,0.8,0.22,0.05,0.16,0.31,10.3,0.86,A
Bastoni,D,Inter,0.04,0.19,0.22,0.03,0.09,0.12,0.94,0.82,72.76,2.32,6.07,3.11,1.25,0.04,,0.2,2.7,0.26,0.04,0.22,0.33,11.1,0.84,A
Lazović,D,,0.12,0.19,0.31,0.15,0.21,0.36,0.63,0.45,54.04,1.36,2.47,5.43,0.4,0.06,1.0,-0.5,-0.4,0.0,0.0,0.0,0.33,11.1,0.84,A
Darmian,D,Inter,0.15,0.1,0.25,0.1,0.08,0.17,0.69,0.53,61.41,0.71,2.27,5.15,1.58,0.15,,1.1,0.5,0.15,0.0,0.15,0.36,11.9,0.81,A
Dorgu,D,,0.15,0.05,0.2,0.16,0.07,0.23,1.0,0.55,87.62,3.33,2.64,5.72,0.91,0.15,,-0.3,-0.5,0.15,0.05,0.1,0.36,11.9,0.81,A
Dumfries,D,Inter,0.32,0.09,0.41,0.25,0.15,0.4,0.69,0.53,67.41,2.53,2.35,7.96,1.3,0.32,,1.6,-1.2,0.18,0.0,0.18,0.36,11.9,0.81,A
El Shaarawy,D,Roma,0.25,0.33,0.57,0.22,0.1,0.32,0.39,0.32,35.42,3.44,4.02,6.31,1.11,0.25,,0.3,2.8,0.16,0.0,0.16,0.36,11.9,0.81,A
Gabbia,D,Milan,0.08,0.0,0.08,0.05,0.01,0.05,0.92,0.63,82.77,0.54,3.09,0.08,1.82,0.08,,0.9,-0.2,0.17,0.0,0.17,0.36,11.9,0.81,A
Holm,D,Bologna,0.08,0.08,0.16,0.05,0.06,0.1,0.57,0.32,54.14,2.3,3.88,3.4,1.67,0.08,,0.4,0.3,0.24,0.0,0.24,0.36,11.9,0.81,A
Marušić,D,,0.15,0.0,0.15,0.08,0.02,0.1,0.74,0.68,66.77,0.89,3.23,4.16,2.0,0.15,,2.0,-0.6,0.04,0.0,0.04,0.36,11.9,0.81,A
Miranda,D,Bologna,0.0,0.24,0.24,0.03,0.24,0.27,0.81,0.66,73.45,1.34,6.44,3.48,0.0,0.0,,-0.7,-0.1,0.2,0.04,0.16,0.36,11.9,0.81,A
Ruggeri,D,,0.0,0.15,0.15,0.01,0.1,0.11,0.63,0.5,58.37,3.08,5.86,5.35,0.0,0.0,,-0.2,1.0,0.1,0.0,0.1,0.36,11.9,0.81,A
Savona,D,Juventus,0.1,0.05,0.16,0.03,0.06,0.09,0.68,0.5,61.57,1.83,3.08,2.3,4.0,0.1,,1.5,-0.2,0.26,0.0,0.26,0.36,11.9,0.81,A
Zampano,D,,0.05,0.11,0.16,0.05,0.04,0.1,0.71,0.45,68.29,2.31,2.25,4.67,1.0,0.05,,0.0,1.2,0.27,0.0,0.27,0.36,11.9,0.81,A
Candela,D,,0.0,0.09,0.09,0.03,0.07,0.1,0.86,0.32,72.0,1.07,2.41,2.23,0.0,0.0,,-0.3,0.2,0.18,0.0,0.18,0.38,12.7,0.78,A
Kabasele,D,Udinese,0.16,0.0,0.16,0.12,0.03,0.15,0.75,0.32,72.56,0.7,3.41,0.54,1.33,0.16,,0.5,-0.4,0.0,0.0,0.0,0.38,12.7,0.78,A
Sabelli,D,Genoa,0.0,0.09,0.09,0.0,0.08,0.09,0.68,0.61,60.53,1.57,3.85,1.88,0.0,0.0,,-0.1,0.1,0.13,0.0,0.13,0.38,12.7,0.78,A
Çelik,D,,0.0,0.08,0.08,0.02,0.06,0.09,0.87,0.71,72.77,1.12,4.23,3.71,0.0,0.0,,-0.6,0.4,0.2,0.0,0.2,0.38,12.7,0.78,A
Acerbi,D,Inter,0.0,0.05,0.05,0.02,0.03,0.05,0.87,0.53,74.35,1.0,3.26,1.16,0.0,0.0,,-0.4,0.4,0.0,0.0,0.0,0.4,13.5,0.76,A
Gallo,D,Lecce,0.0,0.07,0.07,0.01,0.09,0.1,1.0,0.82,84.16,1.97,3.69,3.79,0.0,0.0,,-0.3,-0.7,0.14,0.03,0.1,0.4,13.5,0.76,A
Gyasi,D,,0.06,0.03,0.08,0.11,0.02,0.13,1.0,0.97,86.95,0.62,1.48,3.02,0.51,0.06,,-1.9,0.3,0.14,0.0,0.14,0.4,13.5,0.76,A
Maripán,D,,0.04,0.04,0.08,0.03,0.04,0.07,0.96,0.71,83.57,0.54,3.69,0.35,1.11,0.04,,0.1,0.0,0.19,0.04,0.15,0.4,13.5,0.76,A
Beukema,D,Napoli,0.0,0.03,0.03,0.04,0.03,0.07,0.94,0.87,86.06,0.81,4.57,0.27,0.0,0.0,,-1.5,0.1,0.03,0.0,0.03,0.43,14.3,0.73,B
Ehizibue,D,Udinese,0.0,0.04,0.04,0.04,0.08,0.12,0.91,0.79,75.7,1.95,1.98,4.18,0.0,0.0,,-1.2,-1.2,0.18,0.0,0.18,0.43,14.3,0.73,B
Lazaro,D,Torino,0.0,0.23,0.23,0.04,0.13,0.17,0.79,0.68,69.91,1.37,2.96,5.11,0.0,0.0,,-1.0,2.7,0.23,0.0,0.23,0.43,14.3,0.73,B
Mancini,D,Roma,0.06,0.0,0.06,0.05,0.03,0.07,0.97,0.95,84.95,1.29,3.98,0.66,1.18,0.06,,0.3,-0.9,0.23,0.0,0.23,0.43,14.3,0.73,B
Ranieri,D,Fiorentina,0.03,0.09,0.12,0.03,0.05,0.08,0.97,0.92,85.31,0.73,2.34,0.32,0.91,0.03,,-0.1,1.3,0.21,0.0,0.21,0.43,14.3,0.73,B
Tchatchoua,D,Verona,0.06,0.09,0.14,0.05,0.08,0.13,1.0,0.95,87.97,2.5,2.05,4.63,1.25,0.06,,0.4,0.2,0.23,0.03,0.2,0.43,14.3,0.73,B
Vásquez,D,,0.09,0.0,0.09,0.07,0.01,0.08,0.94,0.89,84.47,1.1,2.84,0.36,1.25,0.09,,0.6,-0.3,0.27,0.0,0.27,0.43,14.3,0.73,B
Gatti,D,Juventus,0.04,0.0,0.04,0.1,0.02,0.12,0.87,0.68,73.17,0.98,2.99,0.25,0.4,0.04,,-1.5,-0.5,0.08,0.0,0.08,0.45,15.1,0.7,B
Kalulu,D,Juventus,0.04,0.0,0.04,0.03,0.02,0.05,0.86,0.66,80.59,1.85,4.51,0.92,1.43,0.04,,0.3,-0.5,0.12,0.04,0.08,0.45,15.1,0.7,B
Lazzari,D,Lazio,0.0,0.06,0.06,0.01,0.08,0.09,0.64,0.42,56.24,4.61,4.22,6.15,0.0,0.0,,-0.1,-0.3,0.19,0.0,0.19,0.45,15.1,0.7,B
Masina,D,Torino,0.05,0.09,0.14,0.03,0.01,0.05,0.71,0.53,68.54,0.7,3.42,0.47,1.43,0.05,,0.3,1.7,0.23,0.0,0.23,0.45,15.1,0.7,B
Pereira,D,,0.03,0.1,0.14,0.04,0.05,0.09,0.91,0.84,76.14,1.76,2.23,3.61,0.83,0.03,,-0.2,1.4,0.34,0.0,0.34,0.45,15.1,0.7,B
Vojvoda,D,Como,0.05,0.1,0.15,0.03,0.12,0.15,0.71,0.53,65.07,1.68,5.29,3.66,1.67,0.05,,0.4,-0.4,0.3,0.0,0.3,0.45,15.1,0.7,B
Candé,D,,0.06,0.06,0.12,0.06,0.04,0.1,1.0,0.45,90.0,0.29,2.76,0.18,0.91,0.06,,-0.1,0.4,0.24,0.0,0.24,0.48,15.9,0.67,B
Gila,D,Lazio,0.03,0.0,0.03,0.04,0.02,0.06,0.97,0.82,85.66,1.58,5.16,0.39,0.91,0.03,,-0.1,-0.6,0.26,0.0,0.26,0.48,15.9,0.67,B
Kolašinac,D,,0.0,0.09,0.09,0.04,0.09,0.12,1.0,0.61,82.74,2.46,6.72,2.22,0.0,0.0,,-0.8,0.2,0.33,0.0,0.33,0.48,15.9,0.67,B
Kristensen,D,Udinese,0.05,0.0,0.05,0.05,0.02,0.06,0.79,0.5,73.08,0.97,3.9,0.97,1.11,0.05,,0.1,-0.3,0.26,0.0,0.26,0.48,15.9,0.67,B
Svoboda,D,,0.07,0.0,0.07,0.01,0.04,0.05,0.94,0.39,82.12,0.89,2.95,0.34,5.0,0.07,,0.8,-0.6,0.07,0.0,0.07,0.48,15.9,0.67,B
Valle,D,Como,0.0,0.0,0.0,0.03,0.06,0.09,0.8,0.32,68.67,1.66,3.84,2.62,0.0,0.0,,-0.3,-0.7,0.17,0.0,0.17,0.48,15.9,0.67,B
Veiga,D,Lecce,0.0,0.08,0.08,0.08,0.01,0.09,0.92,0.32,84.08,0.74,3.29,0.0,0.0,0.0,,-1.0,0.9,0.16,0.0,0.16,0.48,15.9,0.67,B
Bradarić,D,,0.05,0.0,0.05,0.04,0.1,0.14,0.86,0.63,69.04,1.4,2.14,3.86,1.25,0.05,,0.2,-2.2,0.28,0.0,0.28,0.5,16.7,0.65,B
De Silvestri,D,Bologna,0.08,0.0,0.08,0.07,0.03,0.09,0.72,0.34,58.89,0.34,3.91,2.55,1.25,0.08,,0.2,-0.3,0.08,0.0,0.08,0.5,16.7,0.65,B
Gendrey,D,,0.0,0.0,0.0,0.1,0.05,0.15,1.0,0.05,90.0,3.5,2.5,2.0,0.0,0.0,,-0.2,-0.1,0.0,0.0,0.0,0.5,16.7,0.65,B
de Vrij,D,,0.16,0.0,0.16,0.06,0.0,0.06,0.69,0.47,66.38,0.57,3.96,0.26,2.73,0.16,,1.9,0.0,0.1,0.0,0.1,0.5,16.7,0.65,B
Coulibaly,D,Lecce,0.0,0.08,0.08,0.01,0.07,0.08,0.86,0.32,77.43,2.99,3.4,1.91,0.0,0.0,,-0.1,0.1,0.17,0.08,0.08,0.52,17.5,0.63,B
Idzes,D,Sassuolo,0.03,0.0,0.03,0.05,0.02,0.07,1.0,0.92,89.34,0.43,2.42,0.43,0.56,0.03,,-0.8,-0.7,0.14,0.0,0.14,0.52,17.5,0.63,B
Pavard,D,Inter,0.0,0.06,0.06,0.03,0.05,0.07,0.78,0.47,68.87,0.74,5.23,1.48,0.0,0.0,,-0.5,0.2,0.23,0.0,0.23,0.52,17.5,0.63,B
Pezzella,D,,0.0,0.09,0.09,0.02,0.14,0.16,0.97,0.89,82.23,2.41,2.5,4.47,0.0,0.0,,-0.6,-1.6,0.22,0.0,0.22,0.52,17.5,0.63,B
Tavares,D,Lazio,0.0,0.43,0.43,0.06,0.26,0.31,0.96,0.58,73.3,5.23,5.93,5.34,0.0,0.0,,-1.1,3.2,0.27,0.05,0.21,0.52,17.5,0.63,B
Viti,D,Fiorentina,0.03,0.0,0.03,0.03,0.01,0.03,1.0,0.79,85.73,0.59,3.01,0.35,1.25,0.03,,0.2,-0.2,0.1,0.0,0.1,0.52,17.5,0.63,B
De Winter,D,Milan,0.13,0.0,0.13,0.09,0.01,0.1,0.92,0.61,85.4,0.42,2.36,0.42,1.43,0.13,,0.9,-0.2,0.25,0.0,0.25,0.55,18.3,0.61,B
Posch,D,Bologna,0.0,0.0,0.0,0.04,0.06,0.1,0.58,0.29,57.95,1.31,4.82,3.27,0.0,0.0,,-0.5,-0.7,0.08,0.0,0.08,0.55,18.3,0.61,B
Abdulhamid,D,Roma,0.0,0.44,0.44,0.0,0.09,0.09,0.5,0.05,51.25,2.63,3.95,11.41,,0.0,,0.0,0.8,0.0,0.0,0.0,0.57,19.0,0.59,B
Calabria,D,,0.0,0.09,0.09,0.04,0.14,0.18,0.61,0.29,52.67,1.42,6.08,4.84,0.0,0.0,,-0.4,-0.5,0.28,0.0,0.28,0.57,19.0,0.59,B
Del Prato,D,,0.12,0.0,0.12,0.06,0.04,0.1,0.94,0.84,86.68,0.24,2.47,0.95,2.0,0.12,,2.0,-1.2,0.24,0.0,0.24,0.57,19.0,0.59,B
Kamara,D,Udinese,0.04,0.18,0.22,0.04,0.12,0.16,0.83,0.66,66.7,2.34,2.74,4.63,1.11,0.04,,0.1,1.3,0.4,0.04,0.36,0.57,19.0,0.59,B
Moreno,D,,0.0,0.0,0.0,0.02,0.06,0.08,0.88,0.55,71.96,1.2,4.22,3.02,0.0,0.0,,-0.4,-1.2,0.21,0.0,0.21,0.57,19.0,0.59,B
N'Dicka,D,Roma,0.0,0.03,0.03,0.03,0.02,0.04,1.0,1.0,90.0,0.76,2.82,0.13,0.0,0.0,,-1.0,0.3,0.05,0.0,0.05,0.6,19.8,0.58,B
Guilbert,D,,0.0,0.04,0.04,0.01,0.07,0.08,1.0,0.82,78.55,1.77,3.25,1.66,0.0,0.0,,-0.3,-0.8,0.18,0.07,0.11,0.62,20.6,0.57,B
Kelly,D,Juventus,0.0,0.0,0.0,0.04,0.01,0.04,0.92,0.29,84.42,0.89,3.2,2.31,0.0,0.0,,-0.4,-0.1,0.09,0.0,0.09,0.62,20.6,0.57,B
Parisi,D,Fiorentina,0.16,0.0,0.16,0.04,0.06,0.1,0.42,0.29,43.23,2.0,3.2,2.8,4.0,0.16,,1.5,-0.8,0.24,0.0,0.24,0.62,20.6,0.57,B
Salah-Eddine,D,Roma,0.0,0.59,0.59,0.18,0.06,0.24,0.67,0.05,50.67,4.74,1.18,8.88,0.0,0.0,,-0.3,0.9,0.0,0.0,0.0,0.62,20.6,0.57,B
Lykogiannis,D,Bologna,0.0,0.34,0.34,0.02,0.14,0.15,0.71,0.32,61.65,0.86,4.21,3.09,0.0,0.0,,-0.2,2.4,0.26,0.0,0.26,0.64,21.4,0.55,B
Obert,D,Cagliari,0.08,0.08,0.17,0.08,0.03,0.11,0.62,0.34,51.29,1.0,4.18,1.59,1.11,0.08,,0.1,0.6,0.33,0.0,0.33,0.64,21.4,0.55,B
Vogliacco,D,Genoa,0.12,0.0,0.12,0.08,0.01,0.09,0.82,0.47,67.59,0.67,2.84,0.12,1.43,0.12,,0.6,-0.1,0.3,0.0,0.3,0.64,21.4,0.55,B
Walker,D,,0.0,0.0,0.0,0.0,0.12,0.12,0.64,0.18,59.91,1.5,4.37,2.59,,0.0,,0.0,-0.9,0.14,0.0,0.14,0.64,21.4,0.55,B
David Cabal,D,,0.0,0.0,0.0,0.02,0.0,0.02,0.86,0.16,65.71,2.74,3.33,3.72,0.0,0.0,,-0.1,0.0,0.0,0.0,0.0,0.67,22.2,0.53,B
Magnani,D,,0.08,0.0,0.08,0.09,0.0,0.09,0.65,0.29,62.65,0.34,2.62,0.59,0.91,0.08,,-0.1,0.0,0.17,0.0,0.17,0.67,22.2,0.53,B
Šverko,D,,0.08,0.0,0.08,0.02,0.02,0.05,0.75,0.32,69.81,0.64,3.06,0.08,3.33,0.08,,0.7,-0.3,0.24,0.0,0.24,0.67,22.2,0.53,B
