Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Calabria,D,,0.0,0.09,0.09,0.04,0.14,0.18,0.61,0.29,52.67,1.42,6.08,4.84,0.0,0.0,,-0.4,-0.5,0.28,0.0,0.28,0.57,19.0,0.59,B
Caldirola,D,,0.0,0.0,0.0,0.03,0.01,0.04,0.71,0.26,62.57,0.51,2.26,0.41,0.0,0.0,,-0.3,-0.1,0.51,0.0,0.51,1.43,47.6,0.1,C
Cambiaso,D,Juventus,0.08,0.12,0.2,0.03,0.11,0.13,0.76,0.66,67.3,3.16,4.5,4.94,2.86,0.08,,1.3,0.4,0.16,0.0,0.16,0.19,6.3,0.96,S
Candela,D,,0.0,0.09,0.09,0.03,0.07,0.1,0.86,0.32,72.0,1.07,2.41,2.23,0.0,0.0,,-0.3,0.2,0.18,0.0,0.18,0.38,12.7,0.78,A
Candé,D,,0.06,0.06,0.12,0.06,0.04,0.1,1.0,0.45,90.0,0.29,2.76,0.18,0.91,0.06,,-0.1,0.4,0.24,0.0,0.24,0.48,15.9,0.67,B
Carboni,D,Genoa,0.0,0.04,0.04,0.01,0.01,0.02,0.96,0.66,84.27,0.37,2.09,1.31,0.0,0.0,,-0.3,0.7,0.21,0.0,0.21,0.86,28.6,0.39,C
Carboni,D,Genoa,0.0,0.0,0.0,0.0,0.04,0.04,0.38,0.08,28.25,0.8,2.39,4.38,,0.0,,0.0,-0.1,0.8,0.0,0.8,1.55,51.6,0.07,C
Casale,D,Bologna,0.0,0.09,0.09,0.04,0.04,0.09,0.65,0.29,60.88,0.26,3.04,0.17,0.0,0.0,,-0.5,0.5,0.09,0.0,0.09,0.74,24.6,0.48,C
Circati,D,Parma,0.0,0.0,0.0,0.05,0.0,0.05,1.0,0.16,90.0,0.17,1.67,0.0,0.0,0.0,,-0.3,0.0,0.17,0.0,0.17,0.95,31.7,0.29,C
Coco,D,Torino,0.06,0.0,0.06,0.04,0.0,0.04,1.0,0.84,88.91,0.54,2.21,0.09,1.67,0.06,,0.8,0.0,0.32,0.0,0.32,0.95,31.7,0.29,C
Comuzzo,D,Fiorentina,0.04,0.0,0.04,0.02,0.02,0.05,0.73,0.63,66.67,0.57,3.07,0.49,2.0,0.04,,0.5,-0.6,0.2,0.0,0.2,0.71,23.8,0.5,C
Coppola,D,Pisa,0.06,0.0,0.06,0.02,0.0,0.02,0.97,0.87,86.09,0.12,1.48,0.09,2.86,0.06,,1.3,-0.1,0.31,0.0,0.31,1.07,35.7,0.24,C
Coulibaly,D,Lecce,0.0,0.08,0.08,0.01,0.07,0.08,0.86,0.32,77.43,2.99,3.4,1.91,0.0,0.0,,-0.1,0.1,0.17,0.08,0.08,0.52,17.5,0.63,B
Cuadrado,D,Pisa,0.0,0.22,0.22,0.1,0.22,0.31,0.3,0.18,36.17,4.44,6.92,9.74,0.0,0.0,,-0.9,0.0,0.32,0.0,0.32,0.81,27.0,0.43,C
D'Ambrosio,D,,0.0,0.08,0.08,0.04,0.03,0.07,0.6,0.32,54.75,0.82,2.79,1.32,0.0,0.0,,-0.5,0.6,0.25,0.08,0.16,0.9,30.2,0.33,C
Dahl,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,2.09,4.19,8.37,,0.0,,0.0,0.0,0.0,0.0,0.0,1.29,42.9,0.16,C
Daniliuc,D,,0.0,0.0,0.0,0.01,0.01,0.02,0.5,0.24,55.78,0.72,3.41,0.72,0.0,0.0,,-0.1,-0.1,0.0,0.0,0.0,0.88,29.4,0.36,C
Danilo,D,,0.0,0.15,0.15,0.02,0.06,0.08,0.5,0.16,48.42,2.48,6.97,1.08,0.0,0.0,,-0.1,0.6,0.31,0.0,0.31,0.9,30.2,0.33,C
Darmian,D,Inter,0.15,0.1,0.25,0.1,0.08,0.17,0.69,0.53,61.41,0.71,2.27,5.15,1.58,0.15,,1.1,0.5,0.15,0.0,0.15,0.36,11.9,0.81,A
David Cabal,D,,0.0,0.0,0.0,0.02,0.0,0.02,0.86,0.16,65.71,2.74,3.33,3.72,0.0,0.0,,-0.1,0.0,0.0,0.0,0.0,0.67,22.2,0.53,B
Dawidowicz,D,,0.0,0.0,0.0,0.01,0.0,0.01,0.92,0.63,70.96,0.49,1.9,0.15,0.0,0.0,,-0.3,0.0,0.39,0.05,0.34,1.48,49.2,0.08,C
De Sciglio,D,,0.12,0.0,0.12,0.07,0.02,0.09,0.44,0.18,48.06,0.47,2.11,0.82,1.67,0.12,,0.4,-0.2,0.0,0.0,0.0,0.79,26.2,0.45,C
De Silvestri,D,Bologna,0.08,0.0,0.08,0.07,0.03,0.09,0.72,0.34,58.89,0.34,3.91,2.55,1.25,0.08,,0.2,-0.3,0.08,0.0,0.08,0.5,16.7,0.65,B
De Winter,D,Milan,0.13,0.0,0.13,0.09,0.01,0.1,0.92,0.61,85.4,0.42,2.36,0.42,1.43,0.13,,0.9,-0.2,0.25,0.0,0.25,0.55,18.3,0.61,B
Del Prato,D,,0.12,0.0,0.12,0.06,0.04,0.1,0.94,0.84,86.68,0.24,2.47,0.95,2.0,0.12,,2.0,-1.2,0.24,0.0,0.24,0.57,19.0,0.59,B
Dembélé,D,,0.23,0.0,0.23,0.09,0.02,0.12,0.27,0.11,25.87,1.86,2.78,1.86,2.5,0.23,,0.6,-0.1,1.16,0.23,0.93,1.33,44.4,0.14,C
Di Lorenzo,D,Napoli,0.08,0.05,0.14,0.08,0.11,0.18,1.0,0.97,90.0,1.35,6.05,4.41,1.07,0.08,,0.2,-1.9,0.16,0.0,0.16,0.07,2.4,0.99,S
Dimarco,D,Inter,0.17,0.29,0.45,0.14,0.25,0.39,0.88,0.76,65.97,1.94,3.43,9.59,1.21,0.17,,0.7,0.9,0.12,0.0,0.12,0.07,2.4,0.99,S
Djimsiti,D,Atalanta,0.03,0.07,0.1,0.09,0.04,0.14,0.94,0.84,77.65,1.09,3.72,1.43,0.37,0.03,,-1.7,0.7,0.2,0.0,0.2,0.24,7.9,0.92,S
