Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Moro,C,Sassuolo,A,C,C,A,B,B,C,C,C,B,C,B,A,A,A,C,C,C,C
Félix,C,,C,A,C,C,C,C,B,B,B,C,C,C,C,C,A,S,A,C,A
Kastanos,C,Verona,C,C,C,C,C,C,A,B,A,B,B,C,C,C,C,A,A,C,A
Badelj,C,,C,A,B,B,B,B,C,C,C,S,C,A,C,C,C,A,C,C,C
Duda,C,,B,C,C,A,C,B,C,C,C,B,C,A,C,C,C,B,A,S,A
Ondrejka,C,Parma,C,A,C,C,C,C,A,A,A,C,A,C,C,C,C,A,C,C,C
Masini,C,Genoa,C,A,B,A,A,A,C,C,C,B,A,B,C,C,C,B,C,C,C
Urbanski,C,,C,A,B,B,B,B,B,B,B,C,C,C,C,C,C,A,A,C,A
Asllani,C,Inter,C,C,C,C,C,C,B,B,B,A,C,B,A,A,A,C,A,C,A
Deiola,C,Cagliari,C,B,C,C,A,B,B,C,B,A,A,B,C,C,C,C,A,C,A
Perrone,C,Como,A,C,C,B,C,B,C,C,C,A,C,A,A,A,A,C,B,C,B
Atta,C,Udinese,A,C,B,C,C,C,B,C,B,C,C,C,A,A,S,B,A,C,A
Haj,C,,C,C,C,C,C,C,A,A,A,B,A,C,C,C,C,C,S,C,S
Roberto,C,,A,C,C,C,C,C,C,B,C,B,C,B,A,A,A,C,S,C,S
Felici,C,Cagliari,A,C,C,B,C,B,B,B,B,C,S,C,A,A,A,C,C,C,C
Karamoh,C,,A,C,B,C,B,C,B,B,B,C,A,C,A,A,S,C,C,C,C
Frendrup,C,Genoa,C,A,B,B,A,A,C,C,C,A,B,S,C,C,C,A,C,C,C
Henderson,C,,A,C,C,A,C,B,C,C,C,A,C,B,A,A,A,C,A,C,A
Ndary Adopo,C,,B,B,B,B,C,B,C,C,C,A,B,B,C,C,B,S,B,S,C
Vecino,C,Lazio,C,C,C,C,C,C,B,B,B,S,B,A,C,C,B,C,S,C,S
Coulibaly,C,Lecce,B,A,B,A,A,A,C,C,C,A,B,B,C,B,C,A,C,C,C
Ramadani,C,Lecce,B,B,B,A,B,A,C,C,C,S,B,S,C,C,C,B,C,C,C
Ricci,C,Milan,B,B,B,B,A,A,C,C,C,C,B,A,C,B,B,C,B,S,B
Sensi,C,,C,A,C,C,B,C,A,A,A,B,C,B,A,A,C,B,C,C,C
Bianco,C,Fiorentina,B,A,B,B,B,A,C,C,C,B,C,A,C,B,B,S,B,C,B
Duncan,C,,A,A,A,C,C,C,C,C,C,B,C,A,A,A,A,A,C,C,C
Lobotka,C,Napoli,A,B,B,A,B,A,C,C,C,B,C,A,A,A,B,B,C,C,C
Rovella,C,Lazio,A,C,B,B,B,B,C,C,C,C,C,A,A,A,S,C,A,C,A
Thorsby,C,Genoa,A,B,B,C,C,C,C,C,C,B,A,C,A,A,S,A,B,C,B
Zarraga,C,Udinese,C,A,B,B,B,A,B,B,B,A,A,B,C,C,C,B,C,C,C
Linetty,C,,C,A,B,B,B,B,C,C,C,B,A,A,C,C,B,A,A,C,A
Malinovskyi,C,Genoa,A,C,C,B,C,C,B,B,B,A,C,B,A,A,B,C,A,C,A
Zeroli,C,,A,C,C,C,C,C,B,B,B,A,S,B,A,A,A,C,C,C,C
Castrovilli,C,,A,A,A,B,C,C,B,B,A,C,C,C,A,A,B,A,C,C,C
Grassi,C,Cremonese,B,A,B,B,A,A,C,C,C,A,B,A,C,C,C,A,B,C,A
Forson,C,,A,A,A,C,C,C,A,A,A,C,C,C,A,A,B,B,C,C,C
Loftus-Cheek,C,Milan,A,A,A,B,C,C,B,B,C,C,C,C,A,A,A,S,B,C,B
Berisha,C,Lecce,A,C,B,C,B,B,B,B,B,C,C,B,A,A,A,C,S,C,S
Gilmour,C,Napoli,A,C,B,A,C,B,B,C,B,A,C,A,A,A,A,A,C,C,C
Rafia,C,Lecce,A,A,A,B,C,B,C,C,C,B,C,C,A,A,A,S,B,C,A
Sulemana,C,Atalanta,C,A,C,C,S,C,B,A,A,A,B,S,C,C,C,C,B,C,B
Suslov,C,Verona,A,B,B,B,C,B,C,C,C,C,B,C,A,A,S,A,A,S,B
Maleh,C,Lecce,A,B,B,B,B,B,C,C,C,A,C,B,A,A,A,C,A,S,B
Aebischer,C,Pisa,A,A,A,B,B,B,C,B,B,B,C,B,A,A,B,B,B,C,B
Karlström,C,,A,C,B,A,A,A,C,C,C,A,B,A,A,A,A,C,B,C,B
Martins,C,,A,C,C,S,C,C,A,A,A,C,A,C,,A,C,C,S,C,S
Melegoni,C,,A,C,C,S,C,C,B,A,A,S,S,B,,A,C,C,C,C,C
Le Fée,C,,A,A,A,B,A,A,C,B,C,C,C,A,A,A,B,B,B,C,B
Amrabat,C,,A,A,A,S,B,A,C,A,C,B,C,S,,A,C,B,C,C,C
Solbakken,C,,A,A,A,C,B,B,B,B,B,C,A,C,A,A,A,B,B,C,B
Belahyane,C,Lazio,A,C,B,A,B,A,C,C,C,B,B,S,A,A,B,C,A,S,B
Bohinen,C,,A,A,A,B,B,B,B,A,C,C,A,A,A,A,B,B,C,C,C
Makoumbou,C,,A,C,B,A,A,A,C,C,C,S,B,S,A,A,B,C,C,S,C
Pierret,C,Lecce,A,A,A,A,A,S,C,C,C,A,C,S,A,A,B,B,C,C,C
Tameze,C,Torino,A,A,A,B,C,B,B,B,A,C,B,C,A,A,B,A,A,C,A
Bennacer,C,,A,A,A,A,A,A,C,B,B,C,C,C,A,A,B,B,S,C,S
Billing,C,,C,A,C,C,B,C,A,A,A,S,S,C,B,C,A,B,A,C,A
Ndour,C,Fiorentina,A,A,A,A,S,S,B,B,B,C,B,C,A,A,B,C,B,C,B
Doumbia,C,,A,A,A,C,A,B,B,B,B,B,S,C,A,A,S,B,C,C,C
